req_no	thread_id	answer_title	answer_author	work_id	work_title	work_author	readinglog_count	first_publish_year
309	20013666	Don't Shoot: One Man, A Street Fellowship, and the End of Violence in Inner-City America	David M. Kennedy	https://openlibrary.org/works/OL32273592W	Don't Shoot	David M. Kennedy	0	2011.0
311	20118476	Herbs for Presents	Jenny Leggatt	https://openlibrary.org/works/OL5287186W	Herbs for Presents (Althea S.)	Jenny Leggatt	0	1979.0
312	20161750	Woman of the Mists		https://openlibrary.org/works/OL4052925W	Woman of the Mists	Lynn Armistead McKee	1	1994.0
313	20182478	97: Random Thoughts About Life, Love, and Relationships	Justin Lookadoo	https://openlibrary.org/works/OL5707265W	97	Justin Lookadoo	2	2007.0
314	20192218	The Kid: A True Story	Kevin Lewis	https://openlibrary.org/works/OL4819964W	The Kid	Kevin Lewis	6	2003.0
315	20283064	The headstrong houseboat; or, Barnacles are better than blowouts, but beware of a leaky basement	William C. Anderson	https://openlibrary.org/works/OL31277444W	The headstrong houseboat;	William C Anderson	0	1972.0
316	20434467	Please Don't Eat the Daisies	Jean Kerr	https://openlibrary.org/works/OL20655464W	Please don't eat the daisies	Jean Kerr	4	1957.0
317	20479706	Run Baby Run	Nicky Cruz	https://openlibrary.org/works/OL2924526W	Run, baby, run	Nicky Cruz	67	1968.0
318	20532969	The Long Road Home	Adrian Vincent aka The Long Road Home: An Account of the Author’s Experiences	https://openlibrary.org/works/OL38952927W	The Long Road Home		0	
319	20606639	Bright Valley of Love	Edna Hong	https://openlibrary.org/works/OL25462490W	Bright Valley of Love	Edna Hong	0	2021.0
320	20625379	Melanie	Melanie Woss	https://openlibrary.org/works/OL13386825W	Melanie	MELANIE.	0	1988.0
321	20625690	A Pocketful of Silver		https://openlibrary.org/works/OL24292472W	A pocketful of silver	Anne Baker	0	2003.0
322	20784108	An Unconventional Family	Sandra Lipsitz Bem	https://openlibrary.org/works/OL9260645W	An Unconventional Family	Sandra Lipsitz Bem	1	2001.0
323	20853856	Spoken in Darkness: Small-Town Murder and a Friendship Beyond Death	Ann E. Imbrie	https://openlibrary.org/works/OL3959285W	Spoken in darkness	Ann E. Imbrie	2	1993.0
324	20875455	The Girl Who Escaped ISIS: This Is My Story	Farida Khalaf	https://openlibrary.org/works/OL20034083W	The girl who escaped ISIS	Farida Khalaf	0	2016.0
325	20953396	Reinventing Your Life: The Breakthrough Program to End Negative Behavior and Feel Great Again	Jeffrey E. Young and Janet S. Klosko	https://openlibrary.org/works/OL17199195W	Reinventing Your Life: The Breakthrough Program to End Negative Behavior and Feel Great Again		0	1994.0
326	20971074	Science Fiction Movies	Philip Strick	https://openlibrary.org/works/OL5189627W	Science Fiction Movies	Philip Strick	1	1976.0
327	20987191	The Hidden Life of Dogs	Elizabeth Marshall Thomas	https://openlibrary.org/works/OL3295011W	The hidden life of dogs	Elizabeth Marshall Thomas	6	1993.0
328	21020460	Operation Timewarp	Kate Reid	https://openlibrary.org/works/OL9280651W	Operation Timewarp	Kate Reid	0	2003.0
329	21024664	Deadly Intentions	William Randolph Stevens	https://openlibrary.org/works/OL5900632W	Deadly Intentions	William Randolph Stevens	4	1982.0
330	21050116	Project Identification: The First Scientific Field Study of UFO Phenomena	Harley D. Rutledge	https://openlibrary.org/works/OL6439803W	Project Identification	Harley D. Rutledge	3	1981.0
331	21055123	A Gift from Brittany: A Memoir of Love and Loss in the French Countryside	Marjorie Price	https://openlibrary.org/works/OL7007688W	A Gift from Brittany	Marjorie Price; Marjorie Price	0	2008.0
332	21064948	The Great Race: The Story of the Chinese Zodiac	Dawn Casey	https://openlibrary.org/works/OL5840047W	The great race	Dawn Casey; Dawn Casey	3	2006.0
334	21074823	They Came to Stay	Marjorie Margolies and Ruth Gruber 	https://openlibrary.org/works/OL16038553W	They came to stay	Marjorie Margolies	0	1976.0
335	21105301	Lisa and David	Theodore Isaac Rubin	https://openlibrary.org/works/OL2709476W	Jordi. Lisa & David	Theodore Isaac Rubin	1	1962.0
336	21110045	Asylums: Essays on the Social Situation of Mental Patients and Other Inmate	Erving Goffman	https://openlibrary.org/works/OL3282032W	Asylums	Erving Goffman	88	1961.0
338	21136978	Nun: A Memoir	Mary Gilligan Wong	https://openlibrary.org/works/OL122902W	Nun	Mary Gilligan Wong	9	1983.0
339	21149883	The Glass Castle: A Memoir	Jeannette Walls	https://openlibrary.org/works/OL46760W	The Glass Castle	Jeannette Walls	578	2005.0
340	21194559	The Complete Garden Guide: A Comprehensive Reference for All Your Garden Needs	Time-Life Books	https://openlibrary.org/works/OL5909306W	The Complete Garden Guide	Time-Life Books	0	2000.0
341	21210493	A Country With No Name: Tales from the Constitution	Sebastian de Grazia	https://openlibrary.org/works/OL3290389W	Country with No Name	Sebastian De Grazia	0	1997.0
342	21293101	The Woman Warrior: Memoirs of a Girlhood Among Ghosts	Maxine Hong Kingston	https://openlibrary.org/works/OL19342860W	The Woman Warrior: Memoirs of a Girlhood Among Ghosts	Maxine Hong Kingston	3	1989.0
343	21314425	Voyage Around My Room: Selected Works of Xavier de Maistre		https://openlibrary.org/works/OL660387W	Voyage around my room	Xavier de Maistre	1	1994.0
344	21326631	Mine		https://openlibrary.org/works/OL17448W	King Solomon's Mines	H. Rider Haggard	230	1880.0
345	21336917	S.		https://openlibrary.org/works/OL2024851W	The Enduring Vision	Paul S. Boyer	297	1987.0
346	21354037	The Emperor of Scent: A True Story of Perfume and Obsession	Chandler Burr	https://openlibrary.org/works/OL2984242W	The Emperor of Scent	Chandler Burr	15	2002.0
347	21366031	For the Children: Lessons from a Visionary Principal	Madeline Cartwright	https://openlibrary.org/works/OL4293833W	For the children	Madeline Cartwright	0	1993.0
348	21373741	Love at First Bite: Snacks and Mealtime Treats the Quick and Easy Way	Jane Cooper	https://openlibrary.org/works/OL6667357W	Love at first bite	Jane Cooper	1	1977.0
349	21379041	The Girl with the White Flag	Tomiko Higa; trans. by Dorothy Britton	https://openlibrary.org/works/OL8125212W	The girl with the white flag	Tomiko Higa	13	1992.0
350	21395746	The Invitation	Oriah	https://openlibrary.org/works/OL272481W	The Invitation	Oriah	1	2006.0
351	21411953	The Book of the City of Ladies	Christine de Pizan	https://openlibrary.org/works/OL43094982W	the book of the city of ladies 	christine de pizan 	0	1992.0
352	21424650	The Convoluted Universe: Book Four	Dolores Cannon	https://openlibrary.org/works/OL16492120W	The Convoluted Universe, Book Four	Dolores Cannon	45	2011.0
354	21460821	The Accidental 		https://openlibrary.org/works/OL2412076W	The Accidental	Ali Smith	64	2005.0
355	21464904	Create the Space You Deserve: An Artistic Journey to Expressing Yourself Through Your Home	Jill Butler	https://openlibrary.org/works/OL3462438W	Create the space you deserve	Jill Butler	0	2008.0
356	21484344	Demon's Revenge		https://openlibrary.org/works/OL31139235W	Demon's Revenge	White, J. R.	0	2022.0
357	21490171	A Love of Reading: Reviews of Contemporary Fiction	Robert Adams	https://openlibrary.org/works/OL8020501W	A Love of Reading	Robert Adams	0	2001.0
358	21532803	Guardian of the Grail: New Light on the Arthurian Legend	John Whitehead	https://openlibrary.org/works/OL8399593W	Guardian of the grail	John Whitehead	0	1919.0
359	21535225	The Vertical Plane	Ken Webster	https://openlibrary.org/works/OL8404334W	The Vertical Plane	Ken Webster	70	1989.0
360	21551319	Autobiography of a Geisha	Sayo Masuda	https://openlibrary.org/works/OL7923063W	Autobiography of a Geisha	Sayo Masuda	15	2003.0
361	21555223	A Girl Named Zippy: Growing Up Small in Mooreland, Indiana	Haven Kimmel	https://openlibrary.org/works/OL5725203W	A Girl Named Zippy	Haven Kimmel	17	2001.0
362	21571651	The Gentleman From Finland: Adventures On The Trans-siberian Express	Robert M. Goldstein				0	
363	21573322	Call Me Evil, Let Me Go: A mother’s struggle to save her children from a brutal religious cult	Sarah Jones solved by OP	https://openlibrary.org/works/OL17421819W	Call Me Evil Let Me Go A Mothers Struggle To Save Her Children From A Brutal Religious Cult	Sarah Jones	0	2011.0
364	21590125	Harmful to Minors: The Perils of Protecting Children from Sex		https://openlibrary.org/works/OL8443089W	Harmful to Minors	Judith Levine	9	2002.0
365	21599303	The Wilder Shores of Love		https://openlibrary.org/works/OL4183743W	The wilder shores of love	Lesley Blanch; Leslie branch gray	11	1954.0
366	21618676	The Modern Antiquarian	Julian Cope	https://openlibrary.org/works/OL223857W	The modern antiquarian	Julian Cope	6	1998.0
367	21625622	Paris-Underground	Etta Shiber	https://openlibrary.org/works/OL4640914W	Paris-underground	Etta Shiber	2	1942.0
368	21634843	The Presence Process: A Journey Into Present Moment Awareness	Michael Brown	https://openlibrary.org/works/OL19947407W	The presence process	Michael Brown	8	2010.0
369	21637751	Quick & easy Christmas crafts : 133 projects for gifts, ornaments and holiday decorating	Oxmoor House Vol. 1	https://openlibrary.org/works/OL6581405W	Quick & Easy Christmas Crafts	Oxmoor House.	0	1996.0
370	21648758	Miriam	Aimée Sommerfelt	https://openlibrary.org/works/OL22441413W	Miriam	Aimée Sommerfelt	0	1963.0
371	21658790	Survive the Savage Sea	Dougal Robertson	https://openlibrary.org/works/OL7007427W	Survive the savage sea	Dougal Robertson	24	1973.0
372	21669998	The Practical Storybook	Barbara Klein and Michael Kellett not found on LibraryThing				0	
373	21683264	The Shadow Garden		https://openlibrary.org/works/OL27493369W	In the Shadow Garden	Liz Parker	2	2022.0
374	21684457	Almost History: Close Calls, Plan B's, and Twists of Fate in America's Past	Roger Bruns				0	
375	21687936	The Invisible Girl		https://openlibrary.org/works/OL21966518W	The Invisible Girl	Mary Shelley; Mary Shelley	4	2014.0
376	21708937	Devils and Demons	Eric Maple	https://openlibrary.org/works/OL6116555W	Devils and demons	Eric Maple	0	1981.0
377	21711637	Mister God, This is Anna	Fynn	https://openlibrary.org/works/OL27700813W	Mister God, This Is Anna	Fynn	1	1975.0
378	21715328	Child of Awe		https://openlibrary.org/works/OL14872039W	Child Of Awe	Kathryn Lynn Davis	6	1990.0
380	21732843	Women Who Run with the Wolves: Myths and Stories of the Wild Woman Archetype	Clarissa Pinkola Estes	https://openlibrary.org/works/OL2960639W	Women who run with the wolves	Clarissa Pinkola Estés; Clarissa Pinkola Estes; Clarissa Pinkola Estés; ANTONIA MENINI PAGES; María Antonia Menini Pagès; Maria Antonia Menini	730	1982.0
381	21740269	Crofton Meadows	Joan Houston	https://openlibrary.org/works/OL16816910W	Crofton Meadows	Joan Houston	1	1961.0
382	21743983	A Count in the Fo'c'sle	Count Jean Louis D'Esque				0	
383	21746351	Titimus Trim		https://openlibrary.org/works/OL1901877W	Titimus Trim	Lynley Dodd	0	1979.0
384	21746758	Birds		https://openlibrary.org/works/OL1882556W	The Thorn Birds	Colleen McCullough; Colleen McCullough	209	1977.0
385	21751610	The Examined Life: How We Lose and Find Ourselves	Stephen Grosz	https://openlibrary.org/works/OL17672874W	The examined life	Stephen Grosz	12	2013.0
386	21752370	Nesting: It's a Chick Thing	Ame Mahler Beanland	https://openlibrary.org/works/OL18174055W	Nesting	Ame Mahler Beanland; Emily Miles Terry	2	2004.0
387	21754736	Smoked: A True Story About the Kids Next Door	Leon Bing	https://openlibrary.org/works/OL273272W	Smoked	Leon Bing	3	1993.0
388	21761380	The Tender Bar: A Memoir		https://openlibrary.org/works/OL5829556W	The tender bar	J. R. Moehringer; Juan José Estrella González	21	2001.0
389	21765273	The Psychopath Test: A Journey Through the Madness Industry	Jon Ronson	https://openlibrary.org/works/OL16795887W	The Psychopath Test	Jon Ronson	255	2011.0
391	21772388	 Peter and the Wolf		https://openlibrary.org/works/OL11333920W	Prokofiev's Peter and the wolf	Johnny Morris; Sergey Prokofiev; Johnny Morris	1	1992.0
392	21773270	Godzilla	Ian Thorne	https://openlibrary.org/works/OL18829115W	Godzilla storybook		3	1998.0
394	21800906	Popular: Vintage Wisdom for a Modern Geek 		https://openlibrary.org/works/OL34597115W	Popular	MAYA VAN WAGENEN	0	2014.0
395	21822837	This Is Not My Life		https://openlibrary.org/works/OL31118622W	This Is (Not) My Life	Patric Lewandowski	0	2022.0
396	21838103	Chariots of the Gods? Unsolved Mysteries of the Past	Erich von Däniken	https://openlibrary.org/works/OL8051539W	Erinnerungen an die Zukunft	Erich von Däniken	19	1968.0
397	21840302	Diary of a Wilderness Dweller	Chris Czajkowski	https://openlibrary.org/works/OL2031473W	Diary of a Wilderness Dweller	Chris Czajkowski	2	1997.0
398	21842068	Better Homes and Gardens Step-By-Step Microwave Cook Book		https://openlibrary.org/works/OL8194266W	Better Homes and Gardens Step-By-Step Microwave Cook Book	Better Homes and Gardens	2	1987.0
399	21843060	Scratch Beginnings: Me, $25, and the Search for the American Dream	Adam W. Shepard	https://openlibrary.org/works/OL26530842W	Scratch Beginnings	Adam W. Shepard	0	2008.0
400	21849196	The Story of Fester Cat	Paul Magrs	https://openlibrary.org/works/OL19993616W	The story of Fester cat	Paul Magrs	0	2014.0
402	21856419	Ghosted		https://openlibrary.org/works/OL14877871W	The Canterville Ghost	Oscar Wilde	104	1887.0
403	21862400	The Third Reich Sourcebook (Weimar and Now: German Cultural Criticism)	Anson Rabinbach	https://openlibrary.org/works/OL19340725W	The Third Reich Sourcebook (Weimar and Now: German Cultural Criticism 47)	Anson Rabinbach; Sander L. Gilman	0	2013.0
404	21867012	Catching Fire: How Cooking Made Us Human	Richard Wrangham	https://openlibrary.org/works/OL19333369W	Catching Fire: How Cooking Made Us Human	Richard Wrangham	1	2010.0
405	21871835	Who Killed My Daughter?	Lois Duncan aka Who Killed My Daughter?: The True Story of a Mother's Search for Her Daughter's Murderer	https://openlibrary.org/works/OL29685W	Who killed my daughter?	Lois Duncan	32	1992.0
406	21871914	East Along the Equator: A Journey up the Congo and into Zaire	Helen Winternitz	https://openlibrary.org/works/OL4102509W	East along the equator	Helen Winternitz	1	1987.0
407	21884729	Deep Water Passage: A Spiritual Journey at Midlife	Ann Linnea	https://openlibrary.org/works/OL16066652W	Deep water passage	Ann Linnea	0	1997.0
408	21894762	The Diary of Latoya Hunter		https://openlibrary.org/works/OL3916523W	The diary of Latoya Hunter	Latoya Hunter	0	1992.0
409	21899248	Thank You for Arguing: What Aristotle, Lincoln, and Homer Simpson Can Teach Us About the Art of Persuasion		https://openlibrary.org/works/OL3255662W	Thank You for Arguing	Jay Heinrichs	65	2007.0
410	21899655	A Beautiful Child	Matt Birkbeck	https://openlibrary.org/works/OL8109852W	A Beautiful Child	Matt Birkbeck	30	2004.0
411	21909299	Sacrifice of Fools		https://openlibrary.org/works/OL26438815W	Sacrifice of fools	Ian McDonald	1	1996.0
412	21911999	For Better For Worse, For Richer For Poorer	Damian Horner	https://openlibrary.org/works/OL20913941W	For better for worse, for richer for poorer	Damian Horner	0	2010.0
413	21912798	The Legacy		https://openlibrary.org/works/OL2779741W	A town like Alice	Nevil Shute	95	1950.0
414	21914201	Heartlight	T. A. Barron	https://openlibrary.org/works/OL81122W	Heartlight	T. A. Barron	4	1990.0
415	21928631	While the Others Sleep	Tom Becker	https://openlibrary.org/works/OL24308114W	While the others sleep	Tom Becker	1	2013.0
416	21938604	Bookstore: The Life and Times of Jeannette Watson and Books & Co.	Lynne Tillman	https://openlibrary.org/works/OL103201W	Bookstore	Lynne Tillman	2	1999.0
418	21939492	Boy Alone: A Brother's Memoir		https://openlibrary.org/works/OL27425994W	Boy Alone	Karl Taro Greenfeld	0	2009.0
419	21949601	The Man's book : a complete manual of style	James Wagenvoord	https://openlibrary.org/works/OL16312332W	The Man's book	James Wagenvoord	6	1978.0
420	21949872	Tropical frontier	Paul Record	https://openlibrary.org/works/OL7268717W	Tropical frontier	Paul Record	0	1969.0
421	21952030	Don't Know Much About the Bible: Everything You Need to Know About the Good Book but Never Learned	Kenneth C. Davis	https://openlibrary.org/works/OL19355552W	Don't Know Much About the Bible: Everything You Need to Know About the Good Book but Never Learned	Kenneth C. Davis	0	1998.0
422	21962185	The Native Americans: The indigenous people of North America	William S. Sturtevant				0	
423	21970849	The Philosophy Files	Stephen Law	https://openlibrary.org/works/OL5843077W	The Philosophy Files	Stephen Law	2	2000.0
424	21971365	The Trick-or-Treat Trap		https://openlibrary.org/works/OL6091797W	The trick-or-treat trap	Dirk Zimmer	4	1982.0
425	21973280	The Forgotten Soldier	Charlie Connelly	https://openlibrary.org/works/OL24265717W	The forgotten soldier	Charlie Connelly	1	2014.0
426	21975157	A Beautiful Question: Finding Nature's Deep Design		https://openlibrary.org/works/OL17190006W	A beautiful question	Frank Wilczek	17	2015.0
427	21977487	The Essential Guide to Hiking in the United States	Charles Cook	https://openlibrary.org/works/OL2672896W	The essential guide to hiking in the United States	Charles Cook	1	1992.0
428	21979491	Mister God, This is Anna	Fynn	https://openlibrary.org/works/OL27700813W	Mister God, This Is Anna	Fynn	1	1975.0
429	21986338	Meet yourself as you really are	Prince Leopold of Loewenstein and William Gerhardi				0	
430	21988260	Intruders: The Incredible Visitations at Copley Woods	Budd Hopkins	https://openlibrary.org/works/OL12956823W	Intruders	Budd Hopkins	9	1987.0
431	21989706	The Chronology of Water: A Memoir	Lidia Yuknavitch	https://openlibrary.org/works/OL15522043W	The chronology of water	Lidia Yuknavitch	20	2011.0
432	21991317	At Home in the World		https://openlibrary.org/works/OL1918165W	At Home in the World	Joyce Maynard	21	1998.0
433	21993296	The Mother's Encyclopedia	Ronald G. Blackman aka Mother's Encyclopedia: Expert Advice On Childcare Family Living Book	https://openlibrary.org/works/OL22130911W	The Mother's encyclopedia		0	1933.0
434	21996181	Awaken the Olympian Within: Stories from America's Greatest Olympic Motivators	John Naber	https://openlibrary.org/works/OL16056283W	Awaken the Olympian within	John Naber	0	1999.0
435	22001934	The Castle of the Pearl	Christopher Biffle	https://openlibrary.org/works/OL1960232W	The Castle of the Pearl	Christopher Biffle	0	1983.0
436	22004934	Really Useful: The Origins of Everyday Things		https://openlibrary.org/works/OL15796940W	Really useful	Joel Levy	2	2002.0
437	22006689	The Gift of the Deer	Helen Hoover	https://openlibrary.org/works/OL2002149W	The Gift of the Deer	Helen Hoover	1	1966.0
438	22006826	The Embrace: A True Vampire Story	Aphrodite Jones	https://openlibrary.org/works/OL5858733W	The Embrace	Aphrodite Jones	10	1999.0
439	22011102	The Madman's Library: The Strangest Books, Manuscripts and Other Literary Curiosities from History	Edward Brooke-Hitching	https://openlibrary.org/works/OL24150257W	The Madman's Library	Edward Brooke-Hitching	3	2021.0
440	22016947	Rejected		https://openlibrary.org/works/OL21177W	Wuthering Heights	Emily Brontë	2633	1846.0
441	22017002	The Invention of Capitalism: Classical Political Economy and the Secret History of Primitive Accumulation	Michael Perelman	https://openlibrary.org/works/OL16975719W	The invention of capitalism	Michael Perelman	5	2000.0
442	22019821	Crave: Sojourn of a Hungry Soul	Laurie Jean Cannady	https://openlibrary.org/works/OL20015337W	Crave	Laurie Jean Cannady	1	2015.0
443	22020608	I've Got This Friend Who: Advice for Teens and Their Friends on Alcohol, Drugs, Eating Disorders, Risky Behavior and More	KidsPeace; Anna Radev (Editor)				0	
444	22021098	Falling Into Place: A Memoir of Overcoming	Hattie Kauffman	https://openlibrary.org/works/OL20336722W	Falling Into Place	Hattie Kauffman	0	2013.0
445	22025224	Stuffed: Adventures of a Restaurant Family	Patricia Volk	https://openlibrary.org/works/OL4482376W	Stuffed	Patricia Volk	1	2001.0
446	22026426	Queen of Shadows		https://openlibrary.org/works/OL17718538W	Queen of Shadows	Sarah J. Maas	518	2015.0
447	22028176	All the Way Home: Building a Family in a Falling-Down House	David Giffels	https://openlibrary.org/works/OL8750778W	All the Way Home	David Giffels	0	2008.0
448	22034183	House Of Secrets		https://openlibrary.org/works/OL19726993W	House of Secrets	V. C. Andrews	22	2018.0
449	22037366	The Essential Whole Earth Catalog: Access to Tools and Ideas		https://openlibrary.org/works/OL16483417W	The Essential whole earth catalog	Stewart Brand	5	1986.0
450	22037784	Natural Causes: An Epidemic of Wellness, the Certainty of Dying, and Killing Ourselves to Live Longer	Barbara Ehrenreich aka Natural Causes: Life, Death and the Illusion of Control	https://openlibrary.org/works/OL19736248W	Natural causes	Barbara Ehrenreich	2	2018.0
451	22047449	Dead People	Stefany Anne Golberg	https://openlibrary.org/works/OL27797716W	Dead People	Stefany Anne Golberg; Morgan Meis	0	2016.0
452	22049354	Designing Your Work Life: How to Thrive and Change and Find Happiness at Work	Bill Burnett and Dave Evans	https://openlibrary.org/works/OL20652744W	Designing Your Work Life	Bill Burnett; Evans, Dave	19	2020.0
453	22050386	The Drastic Dragon of Draco, Texas		https://openlibrary.org/works/OL15859854W	The drastic dragon of Draco, Texas	Elizabeth Ann Scarborough	1	1986.0
454	22051875	The Serpents of Paradise: A Reader		https://openlibrary.org/works/OL2929617W	The serpents of paradise	Edward Abbey	2	1995.0
455	22056867	Sometimes It's O.K. to Be Angry: A Parent/Child Manual for the Education of Children	Mitch Golant (Author), Bob Crane, Frank C. Smith (Illustrator)				0	
456	22059889	Heart transplant 		https://openlibrary.org/works/OL10785953W	Heart transplantation	British Heart Foundation.	0	2000.0
457	22068627	Bossypants		https://openlibrary.org/works/OL15703704W	Bossypants	Tina Fey	142	2011.0
458	22068783	A time to be born	David Bell	https://openlibrary.org/works/OL31238356W	A Time to be Born/A Time to Die (American Odyssey Series 1-2)		0	
459	22073890	The Outrun	Amy Liptrot	https://openlibrary.org/works/OL20052277W	The outrun	Amy Liptrot	19	2015.0
460	22076221	ShrinkLits: Seventy of the World's Towering Classics Cut Down to Size	Maurice Sagoff	https://openlibrary.org/works/OL6576197W	Shrinklits, Seventy of the World's Towering Classics Cut Down to Size	Maurice Sagoff	0	1994.0
461	22077460	A Soldier's Son: An American Boyhood During World War II	John Hodgkins	https://openlibrary.org/works/OL26490183W	Soldier's Son	John Hodgkins	0	2006.0
462	22077549	The Mysteries of Life & Death		https://openlibrary.org/works/OL471724W	Death on the Nile	Agatha Christie	723	1937.0
463	22080518	Death Be Not Proud	John Gunther	https://openlibrary.org/works/OL1771796W	Death be not proud	John Gunther	53	1947.0
464	22080779	The Great Questions of Philosophy and Physics	Steven Gimbel				0	
465	22083114	Full Spectrum Disorder: The Military in the New American Century	Stan Goff	https://openlibrary.org/works/OL5933360W	Full Spectrum Disorder	Stan Goff	1	2004.0
466	22087118	Cold Oceans: Adventures in Kayak, Rowboat, and Dogsled	Jonathan Turk	https://openlibrary.org/works/OL1825131W	Cold Oceans	Jonathan Turk	2	1998.0
467	22091255	Blessings		https://openlibrary.org/works/OL69942W	The Constitution of the United States and related documents	United States	125	1787.0
468	22106981	Great Parties: How To Plan Them	Susan Wallach	https://openlibrary.org/works/OL3592610W	Great parties, how to plan them	Susan Wallach	1	1991.0
469	22110413	The Language Of Flowers		https://openlibrary.org/works/OL19665283W	The language of flowers	Vanessa Diffenbaugh	44	2011.0
470	22116411	The Four Ms Bradwells		https://openlibrary.org/works/OL15444601W	The four Ms. Bradwells	Meg Waite Clayton	2	2011.0
471	22121468	Controlled	Neesha Arter				0	
472	22121995	Crimes That Changed Our World: Tragedy, Outrage, and Reform	Paul H. Robinson aka Crimes That Changed Our World	https://openlibrary.org/works/OL20537548W	Crimes That Changed Our World	Paul H. Robinson; Sarah M. Robinson	0	2018.0
473	22128882	Case for Mr Fortune		https://openlibrary.org/works/OL7599507W	Case for Mr. Fortune	H. C. Bailey	8	1932.0
474	22144683	Paint Happy		https://openlibrary.org/works/OL1230613W	L’étranger	Albert Camus	2355	1942.0
475	22147999	The Heartbreak Diet: A Story of Family, Fidelity, and Starting Over	Thorina Rose	https://openlibrary.org/works/OL15938240W	The heartbreak diet	Thorina Rose	0	2008.0
476	22156539	The Mystery at Number Seven, Rue Petite	Ellen Shire	https://openlibrary.org/works/OL5895296W	The mystery at number seven, Rue Petite	Ellen Shire	0	1978.0
477	22156976	Cleopatra's Wedding Present: Travels through Syria	Robert Tewdwr Moss	https://openlibrary.org/works/OL8371640W	Cleopatra's Wedding Present	Robert Tewdwr Moss	0	1998.0
478	22163068	Dibs in Search of Self	Virginia M. Axline	https://openlibrary.org/works/OL7971357W	Dibs in Search of Self	Virginia M. Axline	92	1964.0
479	22167924	The History of Time: A Very Short Introduction	Leofranc Holford-Strevens	https://openlibrary.org/works/OL4625731W	The History of Time	Leofranc Holford-Strevens	4	2005.0
480	22180206	The Murder Game		https://openlibrary.org/works/OL5689287W	The Murder Game	Beverly Barton	13	2008.0
481	22182552	Breakthrough Dreaming		https://openlibrary.org/works/OL2741339W	Breakthrough dreaming	Gayle M. V. Delaney	4	1991.0
482	22191460	Dark Woods		https://openlibrary.org/works/OL20493022W	In a Dark, Dark Wood	Ruth Ware	102	2015.0
483	22191618	Back from the Dead: One Woman's Search for the Men Who Walked off America's Death Row	Joan M. Cheever	https://openlibrary.org/works/OL4131241W	Back from the Dead	Joan M. Cheever	1	2006.0
484	22193073	Outside Passage: A Memoir of an Alaskan Childhood		https://openlibrary.org/works/OL2010523W	Outside passage	Julia Scully	0	1998.0
485	22195680	Far Out Isn't Far Enough: Life in the Back of Beyond	Tomi Ungerer	https://openlibrary.org/works/OL48737W	Far Out Isn't Far Enough	Tomi Ungerer	4	1984.0
486	22201382	The Hollow Land	Jane Gardam	https://openlibrary.org/works/OL2118282W	The Hollow Land	Jane Gardam	1	1981.0
487	22202339	Stranger on a Train: Daydreaming and Smoking Around America with Interruptions	Jenny Diski	https://openlibrary.org/works/OL921076W	Stranger on a train	Jenny Diski	3	2002.0
488	22204230	Beach Towels	Marilyn Sachs	https://openlibrary.org/works/OL1839045W	Beach towels	Marilyn Sachs	5	1982.0
489	22207619	Chasing Redbird	Sharon Creech	https://openlibrary.org/works/OL31556W	Chasing Redbird	Sharon Creech	12	1997.0
490	22208881	Changing Moon	Mathieu Mariolle	https://openlibrary.org/works/OL15374176W	Changing Moon	Mathieu Mariolle	4	2010.0
491	22213703	Requiem of the Stars		https://openlibrary.org/works/OL21868175W	Study Guide	SuperSummary	1158	2017.0
492	22219649	Life and Death in Shanghai	Nien Cheng title on LibraryThing: Élet és halál Sanghajban	https://openlibrary.org/works/OL2139457W	Life and death in Shanghai	Nien Cheng	45	1986.0
493	22223970	Save Karyn: One Shopaholic's Journey to Debt and Back	Karyn Bosnak	https://openlibrary.org/works/OL5800863W	Save Karyn	Karyn Bosnak	1	2003.0
494	22229086	The Witch's Portraits	Lisa Mullarkey	https://openlibrary.org/works/OL18388341W	The Witch's Portraits	Lisa Mullarkey	0	1998.0
495	22230786	The Aliens Are Here!		https://openlibrary.org/works/OL27560736W	Close Encounters	Jason M. Burns; Dustin Evans	0	2022.0
496	22237601	Angels in the Darkness: A Family's Triumph over Hitler and World War II Berlin, 1935-1949	Lisa Farringer Parker	https://openlibrary.org/works/OL22424079W	Angels in the darkness	Lisa Farringer Parker	0	2011.0
497	22240663	Over the moon and far away	Margaret Nash	https://openlibrary.org/works/OL7978759W	Over the Moon and Far Away	Margaret Nash	0	1989.0
498	22251173	Extreme Encounters: How It Feels to Be Drowned in Quicksand, Shredded by Piranhas, Swept Up in a Tornado, and Dozens of Other Unpleasant Experiences...	Greg Emmanuel	https://openlibrary.org/works/OL8231627W	Extreme Encounters	Greg Emmanuel	0	2002.0
499	22252811	The Vanishing Moment	Margaret Wild	https://openlibrary.org/works/OL17898979W	The Vanishing Moment	Margaret Wild	3	2013.0
500	22254278	Profits of War : Inside the Secret U.S.-Israeli Arms Network	Ari Ben-Menashe	https://openlibrary.org/works/OL4304655W	Profits of War	Ari Ben-Menashe; Ari Ben-Menashe	21	1992.0
502	22260694	Black Ice	Becca Fitzpatrick	https://openlibrary.org/works/OL17497336W	Black Ice	Becca Fitzpatrick	18	2014.0
503	22263996	Eye on Korea an Insider Account of Korean-American Relations		https://openlibrary.org/works/OL13613265W	Eye on Korea	James V. Young	0	2003.0
504	22267483	World of Nature	Václav Jan Stanek	https://openlibrary.org/works/OL11895927W	The world of nature	Václav Jan Stanek	0	1959.0
